employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
181,Jean,Fleaur,JFLEAUR,650.507.9877,23-02-1998,SH_CLERK,3100,0,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,21-06-1999,SH_CLERK,2500,0,120,50
183,Girard,Geoni,GGEONI,650.507.9879,03-02-2000,SH_CLERK,2800,0,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,27-01-1996,SH_CLERK,4200,0,121,50
185,Alexis,Bull,ABULL,650.509.2876,20-02-1997,SH_CLERK,4100,0,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,24-06-1998,SH_CLERK,3400,0,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,07-02-1999,SH_CLERK,3000,0,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,14-06-1997,SH_CLERK,3800,0,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,13-08-1997,SH_CLERK,3600,0,122,50
190,Timothy,Gates,TGATES,650.505.3876,11-07-1998,SH_CLERK,2900,0,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,19-12-1999,SH_CLERK,2500,0,122,50
192,Sarah,Bell,SBELL,650.501.1876,04-02-1996,SH_CLERK,4000,0,123,50
193,Britney,Everett,BEVERETT,650.501.2876,03-03-1997,SH_CLERK,3900,0,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,01-07-1998,SH_CLERK,3200,0,123,50
195,Vance,Jones,VJONES,650.501.4876,17-03-1999,SH_CLERK,2800,0,123,50
196,Alana,Walsh,AWALSH,650.507.9811,24-04-1998,SH_CLERK,3100,0,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,23-05-1998,SH_CLERK,3000,0,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,21-06-1999,SH_CLERK,2600,0,124,50
199,Douglas,Grant,DGRANT,650.507.9844,13-01-2000,SH_CLERK,2600,0,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-09-1987,AD_ASST,4400,0,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-02-1996,MK_MAN,13000,0,100,20
202,Pat,Fay,PFAY,603.123.6666,17-08-1997,MK_REP,6000,0,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,07-06-1994,HR_REP,6500,0,101,40
204,Hermann,Baer,HBAER,515.123.8888,07-06-1994,PR_REP,10000,0,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-06-1994,AC_MGR,12000,0,101,110
206,William,Gietz,WGIETZ,51hr5.123.8181,07-06-1994,AC_ACCOUNT,8300,0,205,110
